SL NO,DATE,DEVICE ID,MSISDN,SIM IMEI NUMBER,SIM TYPE,STATUS,REGION,BRANCH,BR CODE
208,25-02-2025,861657073573482,915755090625614,8991462160511039625,Vodafone,PINGING,MML VISAKHAPATINAM,UPPADA,MML0631
209,25-02-2025,861657073569803,915755090625609,8991462160511039575,Vodafone,NOT PINGING/RETURNED TO MITS,,,
210,25-02-2025,861657073569845,915755090625624,8991462160511039724,Vodafone,PINGING,MML GULBURGA,SHAHAJANI AURAD,MML0970
211,25-02-2025,861657073572971,915755090625626,8991462160511039740,Vodafone,PINGING,MML CHENNAI,KALAMBUR,MML0669
212,25-02-2025,861657073576048,915755090627142,8991462160511039914,Vodafone,PINGING,MML GULBURGA,UMERGH,MML0974
213,25-02-2025,861657073577087,915755090627167,8991462160511040169,Vodafone,PINGING,MML CHENNAI,CHINNAPPEMPATTI,MML0662
214,25-02-2025,861657073561990,915755090625621,8991462160511039690,Vodafone,PINGING,MML HYDERABAD,MUSTABAD,MML0826
215,25-02-2025,861657072370252,915755090625623,8991462160511039716,Vodafone,PINGING,MML HYDERABAD,ELANTHAGUNTA,MML0797
216,25-02-2025,861657073576998,915755090643979,8991462160511039443,Vodafone,PINGING,MML VISAKHAPATINAM,ARAKU VALLEY,MML0648
217,25-02-2025,861657072370971,915755090625600,8991462160511039484,Vodafone,PINGING,MML CHENNAI,KINATHUKADAVU,MML0551
218,25-02-2025,861657073556875,915755090643978,8991462160511039435,Vodafone,PINGING,MML GULBURGA,MUDHOOL,MML0940
219,25-02-2025,861657073556909,915755090643977,8991462160511039427,Vodafone,PINGING,MML HYDERABAD,THURKAPALLY,MML0825
220,25-02-2025,861657073572708,915755090625608,8991462160511039567,Vodafone,PINGING,MML HYDERABAD,BOATH,MML0971
221,25-02-2025,861657073557618,915755090625613,8991462160511039617,Vodafone,PINGING,MML HYDERABAD,NAVIPET,MML0781
222,25-02-2025,861657073574241,915755090625612,8991462160511039609,Vodafone,PINGING,MML VISAKHAPATINAM,KAVITI,MML0937
223,25-02-2025,861657073577277,915755090625601,8991462160511039492,Vodafone,PINGING,MML HYDERABAD,MARRIGUNDA,MML0651
224,25-02-2025,861657073557667,915755090625605,8991462160511039534,Vodafone,PINGING,MML VISAKHAPATINAM,KAILASAPURAM,MML0537
225,25-02-2025,861657073557584,915755090625606,8991462160511039542,Vodafone,PINGING,MML VIJAYAWADA,CHILUKALURPET,MML0563
226,25-02-2025,861657072374270,915755090625602,8991462160511039500,Vodafone,PINGING,MML VIJAYAWADA,MACHERLA,MML0936
227,25-02-2025,861657073575586,915755090643982,8991462160511039476,Vodafone,PINGING,MML CHENNAI,VILLIVAKKAM.,MML0718
228,25-02-2025,861657073576766,915755090625603,8991462160511039518,Vodafone,PINGING,MML GULBURGA,JAFERABAD ROAD,MML0700
229,25-02-2025,861657073558665,915755090643972,8991462160511039377,Vodafone,PINGING,MML GULBURGA,SULEPET,MML0834
230,25-02-2025,861657073572575,915755090625615,8991462160511039633,Vodafone,PINGING,MML CHENNAI,THIRUPALAIVANAM,MML0640
231,25-02-2025,861657072333607,915755090625611,8991462160511039591,Vodafone,PINGING,MML HYDERABAD,YELDHURTY,MML0828
232,25-02-2025,861657073562956,915755090643967,8991462160511039328,Vodafone,PINGING,MML GULBURGA,NIDAGUNDI,MML0555
233,25-02-2025,861657073584810,915755090625616,8991462160511039641,Vodafone,PINGING,MML GULBURGA,DEVAR HIPPARGI,MML0554
234,25-02-2025,861657072371839,915755090643981,8991462160511039468,Vodafone,PINGING,MML HYDERABAD,BICHKONDA,MML0570
235,25-02-2025,861657072377869,915755090643966,8991462160511039310,Vodafone,PINGING,MML CHENNAI,ADHANUR,MML0721
236,25-02-2025,861657072370880,915755090643965,8991462160511039302,Vodafone,PINGING,MML VISAKHAPATINAM,PRATHAP NAGAR,MML0720
237,25-02-2025,861657072355253,915755090643963,8991462160511039286,Vodafone,PINGING,MML HYDERABAD,BALGONDA,MML0923
238,25-02-2025,861657073557402,915755090643975,8991462160511039401,Vodafone,PINGING,MML VISAKHAPATINAM,DEVARAPALLI,MML0891
239,25-02-2025,861657073562899,915755090643973,8991462160511039385,Vodafone,PINGING,MML HYDERABAD,ENDALWAI,MML0922
240,25-02-2025,861657073557303,915755090625620,8991462160511039682,Vodafone,PINGING,MML VISAKHAPATINAM,ETCHERLA,MML0892
241,25-02-2025,861657073583176,915755090625619,8991462160511039674,Vodafone,PINGING,MML CHENNAI,VEPPAMPATU,MML0641
242,25-02-2025,861657073559937,915755090625618,8991462160511039666,Vodafone,PINGING,MML HYDERABAD,BHIKNOOR,MML0829
243,25-02-2025,861657073572849,915755090643980,8991462160511039450,Vodafone,PINGING,MML CHENNAI,VENNUNDUR,MML0636
244,25-02-2025,861657073583127,915755090643974,8991462160511039393,Vodafone,PINGING,MML HYDERABAD,DOMAKONDA,MML0650
245,25-02-2025,861657073576956,915755090625610,8991462160511039583,Vodafone,PINGING,MML HYDERABAD,DICHPALLI,MML0921
246,25-02-2025,861657073576964,915755090643976,8991462160511039419,Vodafone,PINGING,MML GULBURGA,NALDURGH,MML0941
247,25-02-2025,861657073577251,915755090625604,8991462160511039526,Vodafone,PINGING,MML VIJAYAWADA,SATTENAPALLI,MML0827
248,25-02-2025,861657072371482,915755090625607,8991462160511039559,Vodafone,PINGING,MML CHENNAI,SEETHANJERI,MML0639
249,25-02-2025,861657073572609,915755090625625,8991462160511039732,Vodafone,PINGING,MML VISAKHAPATINAM,INDRAPALEM,MML0719
250,25-02-2025,861657072362598,915755090625622,8991462160511039708,Vodafone,PINGING,MML HYDERABAD,KUBEER,MML0790
251,25-02-2025,861657072351625,5754090184328,8991950912963793119U,AIRTEL,PINGING,MML HYDERABAD,MUSTABAD,MML0826
252,25-02-2025,861657073557964,5754090184327,8991950912963793118U,AIRTEL,PINGING,MML GULBURGA,NALDURGH,MML0941
253,25-02-2025,861657072330801,5754090184333,8991950912963793124U,AIRTEL,PINGING,MML GULBURGA,MUDHOL,MML0940
254,25-02-2025,861657072354975,5754090184329,8991950912963793120U,AIRTEL,PINGING,MML GULBURGA,JAFFERABAD ROAD,MML0700
255,25-02-2025,861657072374023,5754090184332,8991950912963793123U,AIRTEL,PINGING,MML VISAKHAPATINAM,DEVARAPALLI,MML0891
256,25-02-2025,861657073573631,5754090184330,8991950912963793121U,AIRTEL,PINGING,MML KURNOOL,YENUGONDA,MML0795
257,25-02-2025,861657073557329,5754090184331,8991950912963793122U,AIRTEL,PINGING,MML VISAKHAPATINAM,KAVITI,MML0937
258,25-02-2025,861657072357374,5754090184334,8991950912963793125U,AIRTEL,PINGING,MML VISAKHAPATINAM,ARAKU VALLEY,MML0648
259,25-02-2025,861657073572633,5754090184335,8991950912963793126U,AIRTEL,PINGING,MML VIJAYAWADA,GUNTUR PONNURU,MML0935
260,25-02-2025,861657073557196,5754090184336,8991950912963793127U,AIRTEL,PINGING,MML KURNOOL,ANANTHAPURAM TAPOVANAM,MML0423
261,25-02-2025,861657073557535,5754090184337,8991950912963793128U,AIRTEL,PINGING,MML GULBURGA,SHAHAJANI AURAD,MML0970
262,25-02-2025,861657073576592,5754090184339,8991950912963793130U,AIRTEL,PINGING,MML HYDERABAD,DICHPALLI,MML0921
263,25-02-2025,861657073577285,5754090184341,8991950912963793132U,AIRTEL,PINGING,MML GULBURGA,NIDAGUNDI,MML0555
264,25-02-2025,861657073572716,5754090184342,8991950912963793133U,AIRTEL,PINGING,MML VISAKHAPATINAM,INDRAPALEM,MML0719
265,25-02-2025,861657073577384,5754090184340,8991950912963793131U,AIRTEL,PINGING,MML GULBURGA,SAIDAPUR,MML0626
266,25-02-2025,861657073557246,5754090184338,8991950912963793129U,AIRTEL,PINGING,MML HYDERABAD,ELANTHAGUNTA,MML0797
267,25-02-2025,861657072339323,5754090184384,8991950912963793175U,AIRTEL,PINGING,MML HYDERABAD,MORTHAD,MML0746
268,25-02-2025,861657072357341,5754090184385,8991950912963793176U,AIRTEL,PINGING,MML HYDERABAD,BICHKONDA,MML0570
269,25-02-2025,861657073572799,5754090184386,8991950912963793177U,AIRTEL,PINGING,MML HYDERABAD,NAVIPET,MML0781
270,25-02-2025,861657073559887,5754090184344,8991950912963793135U,AIRTEL,PINGING,MML KURNOOL,ANANTHAPUR GOOTY ROAD,MML0888
271,25-02-2025,861657073575602,5754090184343,8991950912963793134U,AIRTEL,PINGING,MML VISAKHAPATINAM,PRATHAP NAGAR,MML0720
272,25-02-2025,861657073558889,5754090184326,8991950912963793117U,AIRTEL,PINGING,MML VISAKHAPATINAM,ETCHERLA,MML0892
273,25-02-2025,861657073575024,5754090184323,8991950912963793114U,AIRTEL,PINGING,MML VIJAYAWADA,SATTENAPALLI,MML0827
274,25-02-2025,861657073557147,5754090184322,8991950912963793113U,AIRTEL,PINGING,MML GULBURGA,SULEPET,MML0834
275,25-02-2025,861657073575628,5754090184324,8991950912963793115U,AIRTEL,NOT PINGING/RETURNED TO MITS,MML VIJAYAWADA,NAGAYALAKA,MML0833
276,25-02-2025,861657073557717,5754090184325,8991950912963793116U,AIRTEL,PINGING,MML GULBURGA,DEVAR HIPPARGI,MML0554
277,25-02-2025,861657073557220,5754090184381,8991950912963793172U,AIRTEL,PINGING,MML VIJAYAWADA,TENALI CHENCHPETA,MML0564
278,25-02-2025,861657073557352,5754090184380,8991950912963793171U,AIRTEL,PINGING,MML HYDERABAD,KUBEER,MML0790
279,25-02-2025,861657073557139,5754090184382,8991950912963793173U,AIRTEL,PINGING,MML CHENNAI,THIRUPALAIVANAM,MML0640
280,25-02-2025,861657073557022,5754090184383,8991950912963793174U,AIRTEL,PINGING,MML CHENNAI,VENNUNDUR,MML0636
281,25-02-2025,861657073557592,5754090184390,8991950912963793181U,AIRTEL,NOT PINGING/RETURNED TO MITS,MML CHENNAI,KALAMBUR,MML0669
282,25-02-2025,861657073575495,5754090184388,8991950912963793179U,AIRTEL,PINGING,MML HYDERABAD,MARRIGUNDA,MML0651
283,25-02-2025,861657072355121,5754090184389,8991950912963793180U,AIRTEL,PINGING,MML VISAKHAPATINAM,UPPADA,MML0631
284,25-02-2025,861657073576162,5754090184379,8991950912963793170U,AIRTEL,PINGING,MML HYDERABAD,YELDHURTY,MML0828
285,25-02-2025,861657073559820,5754090184387,8991950912963793178U,AIRTEL,PINGING,MML HYDERABAD,NARKETPALLY,MML0652
286,25-02-2025,861657072358802,5754090184393,8991950912963793184U,AIRTEL,PINGING,MML VIJAYAWADA,CHILUKALURPET,MML0563
287,25-02-2025,861657073573102,5754090184394,8991950912963793185U,AIRTEL,PINGING,MML HYDERABAD,THURKAPALLY,MML0825
288,25-02-2025,861657073576576,5754090184392,8991950912963793183U,AIRTEL,PINGING,MML VISAKHAPATINAM,KAILASAPURAM,MML0537
289,25-02-2025,861657073572922,5754090184395,8991950912963793186U,AIRTEL,PINGING,MML CHENNAI,VEPPAMPATU,MML0641
290,25-02-2025,861657073575321,5754090184391,8991950912963793182U,AIRTEL,PINGING,MML CHENNAI,KINATHUKADAVU,MML0551
291,25-02-2025,861657073557253,5754090184374,8991950912963793165U,AIRTEL,PINGING,MML HYDERABAD,BALGONDA,MML0923
292,25-02-2025,861657073576675,5754090184375,8991950912963793166U,AIRTEL,PINGING,MML GULBURGA,UMERGH,MML0974
293,25-02-2025,861657072378149,5754090184376,8991950912963793167U,AIRTEL,PINGING,MML HYDERABAD,BOATH,MML0971
294,25-02-2025,861657073561941,5754090184378,8991950912963793169U,AIRTEL,PINGING,MML HYDERABAD,ENDALWAI,MML0922
295,25-02-2025,861657073573383,5754090184377,8991950912963793168U,AIRTEL,PINGING,MML VIJAYAWADA,REDDIGUDEM,MML0562
296,25-02-2025,861657073575925,5754090184371,8991950912963793162U,AIRTEL,PINGING,MML HYDERABAD,DOMAKONDA,MML0650
297,25-02-2025,861657073557212,5754090184373,8991950912963793164U,AIRTEL,PINGING,MML CHENNAI,VILLIVAKKAM.,MML0718
298,25-02-2025,861657073559929,5754090184372,8991950912963793163U,AIRTEL,PINGING,MML CHENNAI,ADHANUR,MML0721
299,25-02-2025,861657072355980,5754090184370,8991950912963793161U,AIRTEL,PINGING,MML HYDERABAD,BHIKNOOR,MML0829
300,25-02-2025,861657073557006,5754090184321,8991950912963793112U,AIRTEL,PINGING,HO EKM,LENOSH,IT SURVEILLANCE
301,01-03-2025,861657073556990,915755090627134,8991462160511039831,VODAFONE,PINGING,MML KURNOOL,PANYAM,MML0637
302,03-02-2025,861657072355436,915755090627144,8991462160511039930,VODAFONE,PINGING,MML KURNOOL,YADIGI,MML0646
303,03-02-2025,861657073575370,915755090627133,8991462160511039823,VODAFONE,PINGING,MML KURNOOL,OWK,MML0638
304,03-02-2025,861657072373140,915755090627152,8991462160511040011,VODAFONE,PINGING,MML KURNOOL,NANDYAL CHECK POST,MML0644
305,03-02-2025,861657072378388,915755090627153,8991462160511040029,VODAFONE,PINGING,MML KURNOOL,PUTAPARTHI,MML0653
306,03-02-2025,861657072374171,915755090627141,8991462160511039906,VODAFONE,PINGING,MML KURNOOL,ANANTHPUR DURGAM KALYAN ROAD,MML0655
307,03-02-2025,861657072333839,915755090627151,8991462160511040003,VODAFONE,PINGING,MML KURNOOL,WANAPARTHY SRINIVASA NAGAR.,MML0645
308,03-03-2025,861657072378081,,9757,VODAFONE,,,,
309,03-03-2025,861657073557188,915755090627128,8991462160511039773,VODAFONE,PINGING,MML MADURAI,KORADACHERI,MML0713
310,03-03-2025,861657073575404,,,VODAFONE,,,,
311,03-03-2025,861657073577111,915755090627137,8991462160511039864,VODAFONE,PINGING,MML KURNOOL,VAJRAKARUR,MML0654
312,03-03-2025,861657072373777,915755090627148,8991462160511039971,VODAFONE,PINGING,MML KURNOOL,ATMAKUR ANANTHAPUR,MML0769
313,03-03-2025,861657073576444,915755090627147,8991462160511039963,VODAFONE,PINGING,MML KURNOOL,GADWAL-AGRAGAM ROAD,MML0771
314,03-03-2025,861657073575420,915755090627149,8991462160511039989,VODAFONE,PINGING,MML KURNOOL,NANDIYAL NONE PALLI ROAD,MML0889
315,03-03-2025,861657073561743,915755090627150,8991462160511039997,VODAFONE,PINGING,MML KURNOOL,ADDAKKAL,MML0796
316,03-03-2025,861657072377810,915755090627140,8991462160511039898,VODAFONE,PINGING,MML KURNOOL,PEDAKOTHAPALLI,MML0890
317,03-03-2025,861657073568490,,1274,VODAFONE,,,,
318,27-03-2025,861657072355592,915755090627130,8991462160511039799,VODAFONE,PINGING,MML KURNOOL,GUDUR,MML0931
319,27-03-2025,861657073574316,915755090627139,8991462160511039880,VODAFONE,PINGING,MML KURNOOL,DHONE - NEW BUS STAND ROAD,MML0932
320,27-03-2025,861657073576527,915755090627138,8991462160511039872,VODAFONE,PINGING,MML KURNOOL,MADHURNAGAR,MML0772
321,27-03-2025,861657073562840,915755090627156,8991462160511040052,VODAFONE,PINGING,MML MADURAI,GUNTUR,MML0544
322,27-03-2025,861657073562063,915755090625627,8991462160511039757,VODAFONE,PINGING,MML MADURAI,ERIYODU,MML0556
323,27-03-2025,861657073583143,915755090627136,8991462160511039856,VODAFONE,PINGING,MML MADURAI,NATARSANKOTTAI,MML0634
324,27-03-2025,861657072374437,915755090627146,8991462160511039955,VODAFONE,PINGING,MML MADURAI,THIRUVATHAVUR,MML0568
325,27-03-2025,861657073558897,915755090627135,8991462160511039849,VODAFONE,PINGING,MML MADURAI,PALLAPATTI,MML0569
326,27-03-2025,861657073575438,915755090627154,8991462160511040037,VODAFONE,PINGING,MML MADURAI,REGHUNATHAPURAM,MML0557
327,27-03-2025,861657073562915,915755090627155,8991462160511040045,VODAFONE,PINGING,MML MADURAI,MALLI,MML0624
328,04-08-2025,861657072374254,,1092,VODAFONE,,,,
329,04-08-2025,861657073557048,,,VODAFONE,,,,
330,04-08-2025,861657073576733,,1100,VODAFONE,,,,
331,04-08-2025,861657073572989,,1118,VODAFONE,,,,
332,04-08-2025,861657073573250,,1076,VODAFONE,,,,
333,08-04-2025,861657073573003,,1043,VODAFONE,,,,
334,08-04-2025,861657072355360,,1035,VODAFONE,,,,
335,08-04-2025,861657073568243,,1001,VODAFONE,,,,
336,08-04-2025,861657072371763,,1134,VODAFONE,,,,
337,08-04-2025,861657073575842,,1159,VODAFONE,,,,
338,08-04-2025,861657072378206,,1167,VODAFONE,,,,
339,08-04-2025,861657073572997,,1050,VODAFONE,,,,
340,08-04-2025,861657073575990,,995,VODAFONE,,,,
341,08-04-2025,861657073557360,,,,,,,
342,08-04-2025,861657073559960,,,,,,,
343,08-04-2025,861657073569811,,,,,,,
344,08-04-2025,861657073576824,,,,,,,
345,08-04-2025,861657073576881,,,,,,,
346,08-04-2025,861657073576600,,,,,,,
347,08-04-2025,861657073577129,,,,,,,
348,08-04-2025,861657073556669,,,,,,,
349,08-04-2025,861657073575297,,,,,,,
350,08-04-2025,861657073557410,,,,,,,
351,03-02-2025,861657073576634,5754090184494,8991950912963793285U,AIRTEL,PINGING,MML KURNOOL,PANYAM,MML0637
352,03-02-2025,861657072371730,5754090184493,8991950912963793284U,AIRTEL,PINGING,MML KURNOOL,YADIGI,MML0646
353,03-02-2025,861657072378370,5754090184492,8991950912963793283U,AIRTEL,PINGING,MML KURNOOL,OWK,MML0638
354,03-02-2025,861657072378503,5754090184491,8991950912963793282U,AIRTEL,PINGING,MML KURNOOL,NANDYAL CHECK POST,MML0644
355,03-03-2025,861657073575040,5754090184486,8991950912963793277U,AIRTEL,PINGING,MML KURNOOL,PUTAPARTHI,MML0653
356,03-03-2025,861657073557295,5754090184485,8991950912963793276U,AIRTEL,PINGING,MML KURNOOL,ANANTHPUR DURGAM KALYAN ROAD,MML0655
357,03-03-2025,861657073576063,5754090184483,8991950912963793274U,AIRTEL,PINGING,MML KURNOOL,WANAPARTHY SRINIVASA NAGAR.,MML0645
358,03-03-2025,861657073562832,5754090184487,8991950912963793278U,AIRTEL,PINGING,MML KURNOOL,VAJRAKARUR,MML0654
359,03-03-2025,861657073575941,5754090184490,8991950912963793281U,AIRTEL,PINGING,MML KURNOOL,ATMAKUR ANANTHAPUR,MML0769
360,03-03-2025,861657072346971,5754090184488,8991950912963793279U,AIRTEL,PINGING,MML KURNOOL,GADWAL-AGRAGAM ROAD,MML0771
361,03-03-2025,861657072373108,5754090184489,8991950912963793280U,AIRTEL,PINGING,MML KURNOOL,NANDIYAL NONE PALLI ROAD,MML0889
362,03-03-2025,861657073558012,5754090184479,8991950912963793270U,AIRTEL,PINGING,MML KURNOOL,ADDAKKAL,MML0796
363,03-03-2025,861657073557345,5754090184480,8991950912963793271U,AIRTEL,PINGING,MML KURNOOL,PEDAKOTHAPALLI,MML0890
364,03-03-2025,861657073576725,5754090184481,8991950912963793272U,AIRTEL,PINGING,MML KURNOOL,GUDUR,MML0931
365,03-03-2025,861657072362648,5754090184482,8991950912963793273U,AIRTEL,PINGING,MML KURNOOL,DHONE - NEW BUS STAND ROAD,MML0932
366,03-03-2025,861657073575156,5754090184497,8991950912963793288U,AIRTEL,PINGING,MML KURNOOL,MADHURNAGAR,MML0772
367,03-03-2025,861657073576014,5754090184496,8991950912963793287U,AIRTEL,PINGING,MML MADURAI,GUNTUR,MML0544
368,03-03-2025,861657073557089,5754090184498,8991950912963793289U,AIRTEL,PINGING,MML MADURAI,ERIYODU,MML0556
369,03-03-2025,861657073557121,5754090184470,8991950912963793261U,AIRTEL,PINGING,MML MADURAI,NATARSANKOTTAI,MML0634
370,03-03-2025,861657072371086,5754090184472,8991950912963793263U,AIRTEL,PINGING,MML MADURAI,THIRUVATHAVUR,MML0568
371,03-03-2025,861657073576147,5754090184473,8991950912963793264U,AIRTEL,PINGING,MML MADURAI,PALLAPATTI,MML0569
372,03-03-2025,861657073576006,5754090184471,8991950912963793262U,AIRTEL,PINGING,MML MADURAI,REGHUNATHAPURAM,MML0557
373,03-03-2025,861657073575313,5754090184495,8991950912963793286U,AIRTEL,PINGING,MML MADURAI,MALLI,MML0624
374,03-03-2025,861657073576667,5754090184499,8991950912963793290U,AIRTEL,PINGING,MML MADURAI,KORADACHERI,MML0713
375,03-03-2025,861657073577103,5754090184500,8991950912963793291U,AIRTEL,,,,
376,03-03-2025,861657072332831,5754090184501,8991950912963793292U,AIRTEL,,,,
377,03-03-2025,861657073576568,5754090184505,8991950912963793296U,AIRTEL,,,,
378,27-03-2025,861657073556826,5754090184510,8991950912963793301U,AIRTEL,,,,
379,27-03-2025,862211074186461,5754090184509,8991950912963793300U,AIRTEL,,,,
380,27-03-2025,861657073575743,5754090184507,8991950912963793298U,AIRTEL,,,,
381,27-03-2025,861657073583150,5754090184508,8991950912963793299U,AIRTEL,,,,
382,27-03-2025,861657073583101,5754090184513,8991950912963793304U,AIRTEL,,,,
383,27-03-2025,861657073573300,5754090184514,8991950912963793305U,AIRTEL,,,,
384,27-03-2025,861657073575636,5754090184512,8991950912963793303U,AIRTEL,,,,
385,27-03-2025,861657073557881,5754090184511,8991950912963793302U,AIRTEL,,,,
386,27-03-2025,861657073573706,5754090184515,8991950912963793306U,AIRTEL,,,,
387,27-03-2025,861657073576899,5754090184516,8991950912963793307U,AIRTEL,,,,
388,27-03-2025,861657073576618,5754090184519,8991950912963793310U,AIRTEL,,,,
389,27-03-2025,861657073576949,5754090184518,8991950912963793309U,AIRTEL,,,,
390,27-03-2025,861657073574670,5754090184517,8991950912963793308U,AIRTEL,,,,
391,27-03-2025,861657072355584,5754090184506,8991950912963793297U,AIRTEL,,,,
392,08-04-2025,861657073569787,5754090184478,8991950912963793269U,AIRTEL,,,,
393,08-04-2025,861657073558749,5754090184477,8991950912963793268U,AIRTEL,,,,
394,08-04-2025,861657073576451,5754090184484,8991950912963793275U,AIRTEL,,,,
395,08-04-2025,861657073558715,5754090184474,8991950912963793265U,AIRTEL,,,,
396,08-04-2025,861657073576170,5754090184475,8991950912963793266U,AIRTEL,,,,
397,08-04-2025,862211074187733,5754090184476,8991950912963793267U,AIRTEL,,,,
398,08-04-2025,861657072372787,5754090184503,8991950912963793294U,AIRTEL,,,,
399,08-04-2025,861657073558632,5754090184502,8991950912963793293U,AIRTEL,,,,
400,08-04-2025,861657073576550,5754090184504,8991950912963793295U,AIRTEL,,,,
